course_code,section,instructor,day,time,room
MATH203,2,TBA,Sunday,01:30-03:00,N601
CSE313,5,TBA,Sunday,8:30-10:00,N602
CSE315,5,Mr. Riad Hossain,Sunday,10:00-11:30,N602
CSE115,2,TBA,Sunday,03:00-04:30,N602
HUM201,2,TBA,Sunday,04:30-06:00,N602
CSE225,3,Ms. Nishat Soultana Chy,Sunday,01:30-03:00,N603
HUM201,3,TBA,Sunday,03:00-04:30,N603
CSE115,3,TBA,Sunday,04:30-06:00,N603
AA150,1,TBA,Sunday,10:00-11:30,N604
PHY101,1,TBA,Sunday,11:30-01:00,N604
EEE111,5,Ms.Shahin Akter,Sunday,10:00-11:30,N605
CSE211,5,TBA,Sunday,11:30-01:00,N605
CSE211,5,TBA,Sunday,01:30-03:00,N605
CSE211,5,TBA,Sunday,03:00-04:30,N605
CSE211,5,TBA,Sunday,04:30-06:00,N605
CSE312,4,Ms. Saraf Anika,Sunday,9:30-11:30,102
CSE312,1,Mr. Md. Jahidul Hasan Jahid,Sunday,11:30-01:30,102
CSE124,4,Mr. Tahsin Mahmud,Sunday,01:30-03:30,102
CSE124,5,Mr. Tahsin Mahmud,Sunday,03:30-05:30,102
CSE124,5,Mr. Tahsin Mahmud,Sunday,03:30-05:30,102
CSE124,5,Mr. Tahsin Mahmud,Sunday,03:30-05:30,102
CSE316,1,Ms. Sayeda Suaiba Anwar,Sunday,9:30-11:30,104
CSE316,9,Ms. Sayeda Suaiba Anwar,Sunday,11:30-01:30,104
CSE316,7,Mr. Riad Hossain,Sunday,01:30-03:30,104
CSE316,2,Ms. Sayeda Suaiba Anwar,Sunday,03:30-05:30,104
CSE316,2,Ms. Sayeda Suaiba Anwar,Sunday,03:30-05:30,104
CSE316,2,Ms. Sayeda Suaiba Anwar,Sunday,03:30-05:30,104
CSE312,9,Mr. Sourav Adhikary,Sunday,9:30-11:30,115
EEE312,1,Mr. S.M. Baque Billah,Sunday,11:30-01:30,115
CSE312,2,Mr. Md. Jahidul Hasan Jahid,Sunday,01:30-03:30,115
CSE226,5,Ms. Nishat Soultana Chy,Sunday,03:30-05:30,115
CSE226,5,Ms. Nishat Soultana Chy,Sunday,03:30-05:30,115
CSE226,5,Ms. Nishat Soultana Chy,Sunday,03:30-05:30,115
CSE114,4,Mr. Md. Jamil Uddin,Sunday,01:30-03:30,313
CSE114,3,Mr. Tanvir Azhar,Sunday,03:30-05:30,313
CSE114,3,Mr. Tanvir Azhar,Sunday,03:30-05:30,313
CSE114,3,Mr. Tanvir Azhar,Sunday,03:30-05:30,313
ENG112,11,Ms. Parna Mutsuddy,Sunday,9:30-11:30,N304
ENG112,12,Ms. Parna Mutsuddy,Sunday,11:30-01:30,N304
ENG112,12,Ms. Parna Mutsuddy,Sunday,01:30-03:30,N304
CSE124,1,Mr. Joydwip Mohajon,Sunday,03:30-05:30,N304
CSE124,1,Mr. Joydwip Mohajon,Sunday,03:30-05:30,N304
CSE124,1,Mr. Joydwip Mohajon,Sunday,03:30-05:30,N304
CSE216,2,Mr. Sanath Kumar Das,Sunday,9:30-11:30,105
CSE216,1,TBA,Sunday,11:30-01:30,105
CSE216,5,TBA,Sunday,01:30-03:30,105
EEE218,1,Mr. Ahamed- Al- Arifin,Sunday,03:30-05:30,105
EEE218,1,Mr. Ahamed- Al- Arifin,Sunday,03:30-05:30,105
